華碩 B760M-AYW WIFI D4 阿唷喂(M-ATX/LAN 2.5Gb+無線/註冊四年/2DIMM)8相,$3590 ◆ ★
[任搭U]華碩 B760M-AYW WIFI D4 阿唷喂(M-ATX/LAN 2.5Gb+無線/2DIMM)8相,$3290 ◆ ★ 熱賣
華碩 PRIME B760M-F D4-CSM(M-ATX/LAN 1Gb/註四年/2DIMM)8相【搭機價】,$2690 ◆ ★ ↓任搭100↓
華碩 PRIME B760M-K D4-CSM(M-ATX/LAN 2.5Gb/註四年/2DIMM)8相,$2990 ◆ ★
華碩 PRIME B760M-A D4-CSM(M-ATX/LAN 2.5Gb/註冊四年)8相供電,$3190 ◆ ★
華碩 PRIME B760M-A WIFI D4-CSM(M-ATX/LAN 2.5Gb+無線/註冊四年)10相,$4090 ◆ ★
[任搭U] 華碩 PRIME B760M-A WIFI D4-CSM(M-ATX/LAN 2.5Gb+無線/註冊四年)10相,$3890 ◆ ★ 熱賣
華碩 TUF GAMING B760M-E D4(M-ATX/LAN2.5Gb/註五年)10+1相電源,$3990↘$3690 ◆ ★
華碩 TUF GAMING B760M-PLUS WIFI D4(M-ATX/LAN 2.5Gb+無線/註五年)12+1相,$4990↘$4390 ◆ ★
技嘉 B760M H DDR4(M-ATX/LAN 1Gb/註冊四年保/2DIMM)6+1+1相供電,$2990 ◆ ★ ↓任搭100↓
[任搭U] 技嘉 B760M H DDR4(M-ATX/LAN 1Gb/註冊四年保/2DIMM)6+1+1相供電,$2690 ◆ ★
技嘉 B760M GAMING DDR4(M-ATX/LAN 2.5Gb/註冊五年保/2DIMM)6+2+1相供電,$3690 ◆ ★
技嘉 B760M GAMING PLUS WIFI DDR4(M-ATX/LAN 2.5Gb+無線/註冊五年保)4+1+1相供電,$3790 ◆ ★
技嘉 B760M DS3H AX DDR4(M-ATX/LAN 2.5Gb+無線)6+2+1相,$3950 ◆ ★ ↓任搭100↓
[任搭U] 技嘉 B760M DS3H AX DDR4(M-ATX/LAN 2.5Gb+無線)6+2+1相,$3790 ◆ ★
